,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
98,19111,06,15,20,23,27,08,10,"2,773,019,555",4,"10,000,000",91,"523,219","278,838,967",2019-09-23
99,19110,01,19,23,24,30,04,05,"2,796,874,880",3,"10,000,000",85,"625,724","304,148,169",2019-09-21
100,19109,02,07,08,20,25,11,12,"2,807,779,067",1,"10,000,000",89,"449,539","280,419,217",2019-09-18
101,19108,24,27,28,31,34,04,08,"2,810,944,267",2,"10,000,000",55,"818,390","284,940,682",2019-09-16
102,19107,05,09,19,27,35,02,03,"2,814,001,476",4,"10,000,000",181,"197,483","293,549,724",2019-09-14
103,19106,05,08,10,32,35,02,10,"2,849,290,615",1,"10,000,000",106,"517,027","277,501,958",2019-09-11
104,19105,01,04,09,14,17,01,06,"2,849,032,904",2,"10,000,000",151,"286,226","276,792,452",2019-09-09
105,19104,02,07,19,22,28,03,05,"2,854,646,726",3,"10,000,000",179,"279,809","307,889,648",2019-09-07
106,19103,05,12,22,27,32,04,07,"2,866,542,333",9,"10,000,000",238,"115,804","282,169,207",2019-09-04
107,19102,05,10,15,19,31,03,06,"2,971,122,369",1,"10,000,000",180,"238,519","294,439,142",2019-09-02
108,19101,05,11,18,19,27,05,06,"2,965,514,601",6,"10,000,000",264,"131,997","317,232,101",2019-08-31
109,19100,05,08,12,19,21,06,11,"3,013,571,194",13,"10,000,000",228,"97,237","285,699,001",2019-08-28
110,19099,04,06,18,27,33,07,09,"3,199,540,848",19,"10,000,000",345,"60,832","264,966,797",2019-08-26
111,19098,13,15,17,19,22,03,04,"3,413,905,651",7,"10,000,000",87,"561,592","283,264,604",2019-08-24
112,19097,10,17,20,30,35,10,12,"3,499,337,221",3,"10,000,000",51,"935,083","265,934,781",2019-08-21
113,19096,02,12,22,23,27,02,06,"3,519,455,539",1,"10,000,000",96,"527,784","264,716,811",2019-08-19
114,19095,03,12,17,19,31,02,06,"3,519,353,885",7,"10,000,000",114,"383,903","285,599,790",2019-08-17
115,19094,01,12,14,26,27,07,09,"3,605,111,819",1,"10,000,000",57,"786,871","268,760,225",2019-08-14
116,19093,16,17,26,29,35,01,07,"3,598,377,683",9,"10,000,000",113,"284,575","263,591,081",2019-08-12
117,19092,02,11,15,27,30,02,05,"3,693,574,033",4,"10,000,000",115,"422,984","282,457,933",2019-08-10
118,19091,04,13,20,26,28,03,12,"3,724,322,763",1,"10,000,000",68,"731,621","269,521,488",2019-08-07
119,19090,13,19,28,30,33,02,12,"3,716,328,636",2,"10,000,000",47,"1,057,313","267,395,452",2019-08-05
120,19089,09,14,18,33,34,03,12,"3,719,449,576",4,"10,000,000",83,"614,487","297,660,456",2019-08-03
121,19088,01,05,18,27,33,06,08,"3,755,102,164",7,"10,000,000",76,"627,469","270,234,407",2019-07-31
122,19087,05,06,18,19,27,07,12,"3,816,395,392",10,"10,000,000",144,"225,581","265,658,108",2019-07-29
123,19086,05,15,16,28,31,02,07,"3,904,840,978",15,"10,000,000",266,"103,760","288,257,269",2019-07-27
124,19085,04,05,06,15,26,08,11,"4,061,417,389",3,"10,000,000",97,"441,006","266,144,001",2019-07-24
125,19084,12,23,25,34,35,01,07,"4,085,660,246",2,"10,000,000",88,"639,090","267,484,415",2019-07-22
126,19083,17,24,26,28,32,07,09,"4,096,211,433",2,"10,000,000",108,"425,427","292,813,014",2019-07-20
127,19082,06,18,20,21,31,03,04,"4,117,332,393",7,"10,000,000",74,"611,256","271,428,141",2019-07-17
128,19081,06,24,26,30,33,02,07,"4,186,160,786",3,"10,000,000",58,"873,889","272,912,117",2019-07-15
129,19080,05,13,18,19,24,02,07,"4,212,738,028",6,"10,000,000",127,"306,022","296,452,290",2019-07-13
130,19079,10,13,16,28,35,04,05,"4,282,392,621",4,"10,000,000",75,"704,932","271,256,673",2019-07-10
131,19078,05,10,21,26,30,01,07,"4,306,208,094",0,0,117,"524,589","272,470,927",2019-07-08
132,19077,01,15,17,21,33,07,10,"4,306,208,094",1,"10,000,000",58,"893,219","293,644,337",2019-07-06
133,19076,01,06,11,23,29,01,11,"4,297,766,552",5,"10,000,000",68,"740,286","266,685,847",2019-07-03
134,19075,05,06,07,11,16,02,11,"4,329,058,171",4,"10,000,000",102,"360,251","264,828,767",2019-07-01
135,19074,08,09,13,14,34,05,07,"4,372,011,525",3,"10,000,000",90,"542,497","301,323,048",2019-06-29
136,19073,04,11,19,20,24,08,11,"4,382,364,770",2,"10,000,000",176,"176,485","271,821,466",2019-06-26
137,19072,02,04,06,09,18,07,10,"4,390,457,899",1,"10,000,000",81,"481,312","269,398,842",2019-06-24
138,19071,07,13,14,15,22,07,11,"4,386,203,654",5,"10,000,000",108,"412,686","295,494,008",2019-06-22
139,19070,02,13,15,22,34,02,12,"4,419,628,452",1,"10,000,000",43,"1,186,548","271,071,777",2019-06-19
140,19069,08,22,23,33,34,04,06,"4,409,347,604",13,"10,000,000",76,"664,345","277,867,343",2019-06-17
141,19068,04,05,08,17,27,06,11,"4,527,560,332",6,"10,000,000",71,"570,619","302,523,734",2019-06-15
142,19067,03,08,11,15,16,02,10,"4,596,914,428",6,"10,000,000",102,"534,981","281,702,303",2019-06-12
143,19066,04,10,11,18,31,05,08,"4,639,229,846",5,"10,000,000",128,"265,113","272,861,483",2019-06-10
144,19065,03,08,10,23,27,02,12,"4,677,385,385",3,"10,000,000",102,"491,543","295,446,062",2019-06-08
145,19064,07,08,13,19,29,11,12,"4,705,583,932",0,0,106,"418,043","277,172,405",2019-06-05
146,19063,05,08,15,18,21,04,08,"4,705,583,932",7,"10,000,000",158,"192,105","269,890,522",2019-06-03
147,19062,05,16,23,25,28,01,12,"4,764,031,989",5,"10,000,000",170,"242,083","292,876,443",2019-06-01
148,19061,01,02,13,14,26,05,11,"4,808,403,292",4,"10,000,000",101,"436,775","272,417,820",2019-05-29
149,19060,01,11,12,18,21,08,10,"4,833,102,719",0,0,93,"709,472","269,705,099",2019-05-27
